frame_id,video_id,target_seconds,relative_path,keep,reason,physical_tyre_id,mileage_proxy,notes
phase2_video1_t0011000_f000331,video1,11.0,data/new_frames/video1/phase2_video1_t0011000_f000331.png,,,,,
phase2_video1_t0011500_f000346,video1,11.5,data/new_frames/video1/phase2_video1_t0011500_f000346.png,,,,,
phase2_video1_t0012000_f000361,video1,12.0,data/new_frames/video1/phase2_video1_t0012000_f000361.png,,,,,
phase2_video1_t0012500_f000376,video1,12.5,data/new_frames/video1/phase2_video1_t0012500_f000376.png,,,,,
phase2_video1_t0013000_f000391,video1,13.0,data/new_frames/video1/phase2_video1_t0013000_f000391.png,,,,,
phase2_video2_t0000000_f000000,video2,0.0,data/new_frames/video2/phase2_video2_t0000000_f000000.png,,,,,
phase2_video2_t0000500_f000015,video2,0.5,data/new_frames/video2/phase2_video2_t0000500_f000015.png,,,,,
phase2_video2_t0001000_f000030,video2,1.0,data/new_frames/video2/phase2_video2_t0001000_f000030.png,,,,,
phase2_video2_t0001500_f000045,video2,1.5,data/new_frames/video2/phase2_video2_t0001500_f000045.png,,,,,
phase2_video2_t0002000_f000060,video2,2.0,data/new_frames/video2/phase2_video2_t0002000_f000060.png,,,,,
phase2_video2_t0002500_f000075,video2,2.5,data/new_frames/video2/phase2_video2_t0002500_f000075.png,,,,,
phase2_video2_t0003000_f000089,video2,3.0,data/new_frames/video2/phase2_video2_t0003000_f000089.png,,,,,
phase2_video2_t0003500_f000104,video2,3.5,data/new_frames/video2/phase2_video2_t0003500_f000104.png,,,,,
phase2_video2_t0004000_f000119,video2,4.0,data/new_frames/video2/phase2_video2_t0004000_f000119.png,,,,,
phase2_video2_t0004500_f000134,video2,4.5,data/new_frames/video2/phase2_video2_t0004500_f000134.png,,,,,
phase2_video2_t0005000_f000149,video2,5.0,data/new_frames/video2/phase2_video2_t0005000_f000149.png,,,,,
phase2_video2_t0005500_f000164,video2,5.5,data/new_frames/video2/phase2_video2_t0005500_f000164.png,,,,,
phase2_video2_t0006000_f000178,video2,6.0,data/new_frames/video2/phase2_video2_t0006000_f000178.png,,,,,
phase2_video2_t0006500_f000193,video2,6.5,data/new_frames/video2/phase2_video2_t0006500_f000193.png,,,,,
phase2_video2_t0007000_f000208,video2,7.0,data/new_frames/video2/phase2_video2_t0007000_f000208.png,,,,,
phase2_video2_t0007500_f000223,video2,7.5,data/new_frames/video2/phase2_video2_t0007500_f000223.png,,,,,
phase2_video2_t0008000_f000238,video2,8.0,data/new_frames/video2/phase2_video2_t0008000_f000238.png,,,,,
phase2_video2_t0008500_f000253,video2,8.5,data/new_frames/video2/phase2_video2_t0008500_f000253.png,,,,,
phase2_video2_t0009000_f000267,video2,9.0,data/new_frames/video2/phase2_video2_t0009000_f000267.png,,,,,
phase2_video2_t0009500_f000282,video2,9.5,data/new_frames/video2/phase2_video2_t0009500_f000282.png,,,,,
phase2_video2_t0010000_f000297,video2,10.0,data/new_frames/video2/phase2_video2_t0010000_f000297.png,,,,,
phase2_video2_t0010500_f000312,video2,10.5,data/new_frames/video2/phase2_video2_t0010500_f000312.png,,,,,
phase2_video2_t0011000_f000327,video2,11.0,data/new_frames/video2/phase2_video2_t0011000_f000327.png,,,,,
phase2_video2_t0011500_f000342,video2,11.5,data/new_frames/video2/phase2_video2_t0011500_f000342.png,,,,,
phase2_video2_t0012000_f000356,video2,12.0,data/new_frames/video2/phase2_video2_t0012000_f000356.png,,,,,
phase2_video2_t0012500_f000371,video2,12.5,data/new_frames/video2/phase2_video2_t0012500_f000371.png,,,,,
phase2_video2_t0013000_f000386,video2,13.0,data/new_frames/video2/phase2_video2_t0013000_f000386.png,,,,,
phase2_video2_t0013500_f000401,video2,13.5,data/new_frames/video2/phase2_video2_t0013500_f000401.png,,,,,
phase2_video2_t0014000_f000416,video2,14.0,data/new_frames/video2/phase2_video2_t0014000_f000416.png,,,,,
phase2_video2_t0014500_f000431,video2,14.5,data/new_frames/video2/phase2_video2_t0014500_f000431.png,,,,,
phase2_video2_t0015000_f000445,video2,15.0,data/new_frames/video2/phase2_video2_t0015000_f000445.png,,,,,
phase2_video2_t0015500_f000460,video2,15.5,data/new_frames/video2/phase2_video2_t0015500_f000460.png,,,,,
phase2_video2_t0016000_f000475,video2,16.0,data/new_frames/video2/phase2_video2_t0016000_f000475.png,,,,,
phase2_video2_t0016500_f000490,video2,16.5,data/new_frames/video2/phase2_video2_t0016500_f000490.png,,,,,
phase2_video2_t0017000_f000505,video2,17.0,data/new_frames/video2/phase2_video2_t0017000_f000505.png,,,,,
phase2_video2_t0017500_f000520,video2,17.5,data/new_frames/video2/phase2_video2_t0017500_f000520.png,,,,,
phase2_video2_t0018000_f000534,video2,18.0,data/new_frames/video2/phase2_video2_t0018000_f000534.png,,,,,
phase2_video2_t0018500_f000549,video2,18.5,data/new_frames/video2/phase2_video2_t0018500_f000549.png,,,,,
phase2_video2_t0019000_f000564,video2,19.0,data/new_frames/video2/phase2_video2_t0019000_f000564.png,,,,,
phase2_video2_t0019500_f000579,video2,19.5,data/new_frames/video2/phase2_video2_t0019500_f000579.png,,,,,
phase2_video2_t0020000_f000594,video2,20.0,data/new_frames/video2/phase2_video2_t0020000_f000594.png,,,,,
phase2_video2_t0020500_f000609,video2,20.5,data/new_frames/video2/phase2_video2_t0020500_f000609.png,,,,,
phase2_video2_t0021000_f000623,video2,21.0,data/new_frames/video2/phase2_video2_t0021000_f000623.png,,,,,
phase2_video2_t0021500_f000638,video2,21.5,data/new_frames/video2/phase2_video2_t0021500_f000638.png,,,,,
phase2_video2_t0022000_f000653,video2,22.0,data/new_frames/video2/phase2_video2_t0022000_f000653.png,,,,,
phase2_video2_t0022500_f000668,video2,22.5,data/new_frames/video2/phase2_video2_t0022500_f000668.png,,,,,
phase2_video2_t0023000_f000683,video2,23.0,data/new_frames/video2/phase2_video2_t0023000_f000683.png,,,,,
phase2_video2_t0023500_f000698,video2,23.5,data/new_frames/video2/phase2_video2_t0023500_f000698.png,,,,,
phase2_video2_t0024000_f000712,video2,24.0,data/new_frames/video2/phase2_video2_t0024000_f000712.png,,,,,
phase2_video2_t0024500_f000727,video2,24.5,data/new_frames/video2/phase2_video2_t0024500_f000727.png,,,,,
phase2_video2_t0025000_f000742,video2,25.0,data/new_frames/video2/phase2_video2_t0025000_f000742.png,,,,,
phase2_video2_t0025500_f000757,video2,25.5,data/new_frames/video2/phase2_video2_t0025500_f000757.png,,,,,
phase2_video2_t0026000_f000772,video2,26.0,data/new_frames/video2/phase2_video2_t0026000_f000772.png,,,,,
phase2_video2_t0026500_f000787,video2,26.5,data/new_frames/video2/phase2_video2_t0026500_f000787.png,,,,,
phase2_video2_t0027000_f000801,video2,27.0,data/new_frames/video2/phase2_video2_t0027000_f000801.png,,,,,
phase2_video2_t0027500_f000816,video2,27.5,data/new_frames/video2/phase2_video2_t0027500_f000816.png,,,,,
phase2_video2_t0028000_f000831,video2,28.0,data/new_frames/video2/phase2_video2_t0028000_f000831.png,,,,,
phase2_video2_t0028500_f000846,video2,28.5,data/new_frames/video2/phase2_video2_t0028500_f000846.png,,,,,
phase2_video2_t0029000_f000861,video2,29.0,data/new_frames/video2/phase2_video2_t0029000_f000861.png,,,,,
phase2_video2_t0029500_f000876,video2,29.5,data/new_frames/video2/phase2_video2_t0029500_f000876.png,,,,,
phase2_video2_t0030000_f000890,video2,30.0,data/new_frames/video2/phase2_video2_t0030000_f000890.png,,,,,
phase2_video2_t0030500_f000905,video2,30.5,data/new_frames/video2/phase2_video2_t0030500_f000905.png,,,,,
phase2_video2_t0031000_f000920,video2,31.0,data/new_frames/video2/phase2_video2_t0031000_f000920.png,,,,,
phase2_video2_t0031500_f000935,video2,31.5,data/new_frames/video2/phase2_video2_t0031500_f000935.png,,,,,
phase2_video2_t0032000_f000950,video2,32.0,data/new_frames/video2/phase2_video2_t0032000_f000950.png,,,,,
phase2_video2_t0032500_f000965,video2,32.5,data/new_frames/video2/phase2_video2_t0032500_f000965.png,,,,,
phase2_video2_t0033000_f000979,video2,33.0,data/new_frames/video2/phase2_video2_t0033000_f000979.png,,,,,
phase2_video2_t0033500_f000994,video2,33.5,data/new_frames/video2/phase2_video2_t0033500_f000994.png,,,,,
phase2_video2_t0034000_f001009,video2,34.0,data/new_frames/video2/phase2_video2_t0034000_f001009.png,,,,,
phase2_video2_t0034500_f001024,video2,34.5,data/new_frames/video2/phase2_video2_t0034500_f001024.png,,,,,
phase2_video2_t0035000_f001039,video2,35.0,data/new_frames/video2/phase2_video2_t0035000_f001039.png,,,,,
phase2_video2_t0035500_f001054,video2,35.5,data/new_frames/video2/phase2_video2_t0035500_f001054.png,,,,,
phase2_video2_t0036000_f001068,video2,36.0,data/new_frames/video2/phase2_video2_t0036000_f001068.png,,,,,
phase2_video2_t0036500_f001083,video2,36.5,data/new_frames/video2/phase2_video2_t0036500_f001083.png,,,,,
phase2_video2_t0037000_f001098,video2,37.0,data/new_frames/video2/phase2_video2_t0037000_f001098.png,,,,,
phase2_video2_t0037500_f001113,video2,37.5,data/new_frames/video2/phase2_video2_t0037500_f001113.png,,,,,
phase2_video2_t0038000_f001128,video2,38.0,data/new_frames/video2/phase2_video2_t0038000_f001128.png,,,,,
phase2_video2_t0038500_f001143,video2,38.5,data/new_frames/video2/phase2_video2_t0038500_f001143.png,,,,,
phase2_video2_t0039000_f001157,video2,39.0,data/new_frames/video2/phase2_video2_t0039000_f001157.png,,,,,
phase2_video2_t0039500_f001172,video2,39.5,data/new_frames/video2/phase2_video2_t0039500_f001172.png,,,,,
phase2_video2_t0040000_f001187,video2,40.0,data/new_frames/video2/phase2_video2_t0040000_f001187.png,,,,,
phase2_video2_t0040500_f001202,video2,40.5,data/new_frames/video2/phase2_video2_t0040500_f001202.png,,,,,
phase2_video2_t0041000_f001217,video2,41.0,data/new_frames/video2/phase2_video2_t0041000_f001217.png,,,,,
phase2_video2_t0041500_f001232,video2,41.5,data/new_frames/video2/phase2_video2_t0041500_f001232.png,,,,,
phase2_video2_t0042000_f001246,video2,42.0,data/new_frames/video2/phase2_video2_t0042000_f001246.png,,,,,
phase2_video2_t0042500_f001261,video2,42.5,data/new_frames/video2/phase2_video2_t0042500_f001261.png,,,,,
phase2_video2_t0043000_f001276,video2,43.0,data/new_frames/video2/phase2_video2_t0043000_f001276.png,,,,,
phase2_video2_t0043500_f001291,video2,43.5,data/new_frames/video2/phase2_video2_t0043500_f001291.png,,,,,
phase2_video2_t0044000_f001306,video2,44.0,data/new_frames/video2/phase2_video2_t0044000_f001306.png,,,,,
phase2_video2_t0044500_f001320,video2,44.5,data/new_frames/video2/phase2_video2_t0044500_f001320.png,,,,,
phase2_video2_t0045000_f001335,video2,45.0,data/new_frames/video2/phase2_video2_t0045000_f001335.png,,,,,
phase2_video2_t0045500_f001350,video2,45.5,data/new_frames/video2/phase2_video2_t0045500_f001350.png,,,,,
phase2_video2_t0046000_f001365,video2,46.0,data/new_frames/video2/phase2_video2_t0046000_f001365.png,,,,,
phase2_video3_t0000000_f000000,video3,0.0,data/new_frames/video3/phase2_video3_t0000000_f000000.png,,,,,
phase2_video3_t0000500_f000015,video3,0.5,data/new_frames/video3/phase2_video3_t0000500_f000015.png,,,,,
phase2_video3_t0001000_f000030,video3,1.0,data/new_frames/video3/phase2_video3_t0001000_f000030.png,,,,,
phase2_video3_t0001500_f000045,video3,1.5,data/new_frames/video3/phase2_video3_t0001500_f000045.png,,,,,
phase2_video3_t0002000_f000060,video3,2.0,data/new_frames/video3/phase2_video3_t0002000_f000060.png,,,,,
phase2_video3_t0002500_f000075,video3,2.5,data/new_frames/video3/phase2_video3_t0002500_f000075.png,,,,,
phase2_video3_t0003000_f000090,video3,3.0,data/new_frames/video3/phase2_video3_t0003000_f000090.png,,,,,
phase2_video3_t0003500_f000105,video3,3.5,data/new_frames/video3/phase2_video3_t0003500_f000105.png,,,,,
phase2_video3_t0004000_f000120,video3,4.0,data/new_frames/video3/phase2_video3_t0004000_f000120.png,,,,,
phase2_video3_t0004500_f000135,video3,4.5,data/new_frames/video3/phase2_video3_t0004500_f000135.png,,,,,
phase2_video3_t0005000_f000150,video3,5.0,data/new_frames/video3/phase2_video3_t0005000_f000150.png,,,,,
phase2_video3_t0005500_f000165,video3,5.5,data/new_frames/video3/phase2_video3_t0005500_f000165.png,,,,,
phase2_video3_t0006000_f000180,video3,6.0,data/new_frames/video3/phase2_video3_t0006000_f000180.png,,,,,
phase2_video3_t0006500_f000195,video3,6.5,data/new_frames/video3/phase2_video3_t0006500_f000195.png,,,,,
phase2_video3_t0007000_f000210,video3,7.0,data/new_frames/video3/phase2_video3_t0007000_f000210.png,,,,,
phase2_video3_t0007500_f000225,video3,7.5,data/new_frames/video3/phase2_video3_t0007500_f000225.png,,,,,
phase2_video3_t0008000_f000240,video3,8.0,data/new_frames/video3/phase2_video3_t0008000_f000240.png,,,,,
phase2_video3_t0008500_f000255,video3,8.5,data/new_frames/video3/phase2_video3_t0008500_f000255.png,,,,,
phase2_video3_t0009000_f000270,video3,9.0,data/new_frames/video3/phase2_video3_t0009000_f000270.png,,,,,
phase2_video3_t0009500_f000285,video3,9.5,data/new_frames/video3/phase2_video3_t0009500_f000285.png,,,,,
phase2_video3_t0010000_f000300,video3,10.0,data/new_frames/video3/phase2_video3_t0010000_f000300.png,,,,,
phase2_video3_t0010500_f000315,video3,10.5,data/new_frames/video3/phase2_video3_t0010500_f000315.png,,,,,
phase2_video3_t0011000_f000330,video3,11.0,data/new_frames/video3/phase2_video3_t0011000_f000330.png,,,,,
phase2_video3_t0011500_f000345,video3,11.5,data/new_frames/video3/phase2_video3_t0011500_f000345.png,,,,,
phase2_video3_t0012000_f000360,video3,12.0,data/new_frames/video3/phase2_video3_t0012000_f000360.png,,,,,
phase2_video3_t0012500_f000375,video3,12.5,data/new_frames/video3/phase2_video3_t0012500_f000375.png,,,,,
phase2_video3_t0013000_f000390,video3,13.0,data/new_frames/video3/phase2_video3_t0013000_f000390.png,,,,,
phase2_video3_t0013500_f000405,video3,13.5,data/new_frames/video3/phase2_video3_t0013500_f000405.png,,,,,
phase2_video3_t0014000_f000420,video3,14.0,data/new_frames/video3/phase2_video3_t0014000_f000420.png,,,,,
phase2_video3_t0014500_f000435,video3,14.5,data/new_frames/video3/phase2_video3_t0014500_f000435.png,,,,,
phase2_video3_t0015000_f000450,video3,15.0,data/new_frames/video3/phase2_video3_t0015000_f000450.png,,,,,
phase2_video3_t0015500_f000465,video3,15.5,data/new_frames/video3/phase2_video3_t0015500_f000465.png,,,,,
